               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.025811,            0.013071,           0.0052566,              0.5899,              0.5836,             0.61772,             0.32124,            0.032475,           0.0056171,            0.029375,           0.0097723,           0.0097723,           0.0097723
                  94,            0.025689,             0.01324,            0.005239,             0.71244,             0.66751,             0.73897,             0.39695,            0.032295,           0.0054173,            0.012014,           0.0097698,           0.0097698,           0.0097698
                  95,            0.025511,            0.013172,            0.005215,             0.74522,             0.70752,             0.74608,             0.38359,            0.030846,            0.005815,            0.012181,           0.0097674,           0.0097674,           0.0097674
                  96,            0.025332,             0.01313,           0.0044013,             0.72238,             0.71954,              0.7418,             0.40382,            0.028012,           0.0052431,            0.017571,           0.0097649,           0.0097649,           0.0097649
                  97,            0.026007,            0.012861,           0.0052412,             0.62433,             0.70933,             0.73155,             0.39416,            0.029978,           0.0055566,            0.018514,           0.0097624,           0.0097624,           0.0097624
                  98,            0.024917,            0.013047,           0.0050206,             0.66122,             0.75925,             0.70256,             0.38294,            0.027837,            0.005569,            0.011864,           0.0097599,           0.0097599,           0.0097599
                  99,            0.025709,            0.012997,           0.0054503,             0.55264,             0.64665,             0.64071,             0.32792,            0.031206,           0.0061669,            0.014898,           0.0097575,           0.0097575,           0.0097575
                 100,            0.025579,            0.012708,            0.005467,             0.64409,             0.72899,             0.70809,             0.36302,            0.029732,           0.0057244,            0.013942,            0.009755,            0.009755,            0.009755
                 101,            0.025705,            0.013369,           0.0056654,             0.60512,             0.68579,              0.6531,             0.30599,            0.033768,           0.0054162,            0.012023,           0.0097525,           0.0097525,           0.0097525
                 102,            0.025918,            0.013232,           0.0048384,             0.69561,             0.75175,             0.75658,             0.35295,            0.035488,           0.0053062,            0.010142,             0.00975,             0.00975,             0.00975
                 103,            0.025348,            0.012591,           0.0051062,             0.71088,             0.74002,             0.76095,             0.37755,              0.0319,           0.0053477,            0.011039,           0.0097476,           0.0097476,           0.0097476
                 104,            0.026698,            0.012806,           0.0055026,             0.69729,             0.68119,             0.71969,             0.37562,            0.034236,           0.0053341,             0.01226,           0.0097451,           0.0097451,           0.0097451
                 105,            0.025493,            0.013135,           0.0058674,             0.75047,             0.69334,             0.77372,             0.39663,            0.031465,           0.0055277,           0.0070441,           0.0097426,           0.0097426,           0.0097426
                 106,            0.024535,            0.013223,            0.004906,             0.66819,             0.73477,             0.72233,              0.3795,            0.027755,           0.0059133,            0.010966,           0.0097401,           0.0097401,           0.0097401
                 107,            0.024942,            0.012899,           0.0049255,             0.63609,             0.68657,             0.68975,              0.3945,            0.027512,            0.006016,            0.014378,           0.0097377,           0.0097377,           0.0097377
                 108,            0.026165,            0.012642,           0.0050499,             0.68466,             0.75227,             0.74606,             0.37016,            0.030454,           0.0055013,            0.015852,           0.0097352,           0.0097352,           0.0097352
                 109,            0.025539,            0.012642,           0.0059455,             0.68337,             0.78797,             0.74481,             0.42032,             0.02838,            0.005229,           0.0090191,           0.0097327,           0.0097327,           0.0097327
                 110,            0.024839,             0.01263,           0.0053676,             0.69214,             0.72475,             0.75371,             0.38008,            0.032941,           0.0054379,            0.011586,           0.0097302,           0.0097302,           0.0097302
                 111,            0.026536,            0.013017,           0.0052471,             0.78145,             0.68272,             0.76128,             0.42166,            0.026952,           0.0059824,              0.0116,           0.0097278,           0.0097278,           0.0097278
                 112,            0.025069,            0.012905,            0.005232,             0.77729,             0.54184,             0.69132,             0.37891,            0.030301,           0.0058987,            0.024316,           0.0097253,           0.0097253,           0.0097253
                 113,            0.024554,            0.012483,           0.0044481,             0.75795,             0.67637,             0.73282,             0.38455,            0.031113,           0.0056038,            0.027594,           0.0097228,           0.0097228,           0.0097228
                 114,            0.025271,             0.01257,           0.0043874,             0.70715,             0.71818,             0.75472,             0.41706,            0.029948,           0.0051308,           0.0097016,           0.0097203,           0.0097203,           0.0097203
                 115,            0.025565,            0.012642,             0.00506,             0.67558,             0.74158,             0.71646,             0.37731,            0.031165,           0.0056062,            0.019601,           0.0097179,           0.0097179,           0.0097179
                 116,            0.026387,            0.012874,            0.005861,             0.59443,             0.57648,             0.56201,             0.28759,            0.032802,           0.0063944,            0.028455,           0.0097154,           0.0097154,           0.0097154
                 117,            0.023871,            0.012819,           0.0049606,             0.61057,             0.62383,             0.63075,             0.34239,            0.030418,           0.0056241,             0.01247,           0.0097129,           0.0097129,           0.0097129
                 118,            0.024112,             0.01283,            0.004784,              0.6499,             0.58906,             0.65825,              0.3416,            0.031576,           0.0060105,            0.020732,           0.0097104,           0.0097104,           0.0097104
                 119,            0.024917,            0.012722,           0.0050719,             0.67353,             0.76236,             0.70599,             0.35805,            0.029359,           0.0058033,            0.031692,            0.009708,            0.009708,            0.009708
                 120,            0.024373,            0.012441,            0.005057,             0.64869,             0.70776,             0.70781,             0.37631,            0.030345,           0.0061722,           0.0093827,           0.0097055,           0.0097055,           0.0097055
                 121,            0.025245,            0.012419,           0.0043269,             0.69732,             0.77042,             0.73503,             0.36732,            0.031186,            0.005568,            0.008323,            0.009703,            0.009703,            0.009703
                 122,            0.024723,              0.0124,           0.0042819,             0.69529,             0.76331,             0.76565,             0.40163,            0.033028,           0.0052392,            0.019409,           0.0097005,           0.0097005,           0.0097005
                 123,            0.024837,            0.012546,           0.0053833,             0.75375,             0.66585,             0.71909,             0.39543,            0.029741,            0.005548,            0.011538,            0.009698,            0.009698,            0.009698
                 124,            0.024793,            0.013007,           0.0051025,             0.62269,             0.72581,             0.69216,             0.39444,             0.02605,           0.0060749,            0.024465,           0.0096956,           0.0096956,           0.0096956
                 125,            0.024206,            0.012416,           0.0049463,             0.71804,             0.66317,             0.71649,             0.38668,            0.029724,           0.0060253,            0.012693,           0.0096931,           0.0096931,           0.0096931
                 126,            0.023555,            0.012602,           0.0046623,             0.65975,             0.72677,             0.73127,             0.39202,            0.026196,           0.0059528,           0.0095105,           0.0096906,           0.0096906,           0.0096906
                 127,            0.024604,            0.012497,           0.0045226,             0.78875,             0.75938,             0.79872,             0.44065,            0.028913,           0.0055087,            0.006909,           0.0096881,           0.0096881,           0.0096881
